Stages_Data,,,,,
English,,,,,
Time,Miles,MPH,Watts,HR,RPM,Resistance,Relative Resistance,Incline
00:46,0.1591,13.46,41,105,89,6,25,2
00:47,0.1634,13.31,40,105,87,6,25,2
00:48,0.1665,13.31,40,106,87,6,25,2
00:49,0.1703,13.31,39,105,86,6,25,2
00:50,0.1740,13.15,39,106,86,6,25,2
00:51,0.1771,13.15,39,106,86,6,25,2
00:52,0.1814,13.15,39,106,86,6,25,2
00:53,0.1845,13.15,39,105,86,6,25,2
00:54,0.1877,13.15,39,105,86,6,25,2
00:55,0.1926,13.15,39,103,86,6,25,2
00:56,0.1951,13.15,39,103,86,6,25,2
00:57,0.1995,13.31,40,103,87,6,25,2
00:58,0.2013,13.31,41,103,88,6,25,2
00:59,0.2069,13.46,41,104,88,6,25,2
01:00,0.2100,13.31,40,106,87,6,25,2
01:01,0.2125,13.31,39,107,86,6,25,2
01:02,0.2156,13.15,39,107,85,6,25,2
01:03,0.2200,13.15,39,107,85,6,25,2
01:04,0.2231,13.15,39,106,85,6,25,2
01:05,0.2268,13.15,39,106,85,6,25,2
01:06,0.2299,13.15,39,105,86,6,25,2
01:07,0.2336,13.15,39,104,86,6,25,2
01:08,0.2380,13.15,39,103,86,6,25,2
01:09,0.2411,13.15,39,102,86,6,25,2
01:10,0.2448,13.15,39,103,86,6,25,2
01:11,0.2479,13.15,39,103,86,6,25,2
01:12,0.2517,13.15,39,103,86,6,25,2
01:13,0.2560,13.01,39,104,85,6,25,2
01:14,0.2591,13.01,39,104,85,6,25,2
01:15,0.2635,13.01,39,105,85,6,25,2
01:16,0.2672,13.15,39,105,86,6,25,2
01:17,0.2691,13.01,39,105,85,6,25,2
01:18,0.2734,13.01,39,105,85,6,25,2
01:19,0.2759,13.01,39,105,85,6,25,2
01:20,0.2802,13.01,39,105,85,6,25,2
01:21,0.2846,13.01,39,104,85,6,25,2
01:22,0.2877,13.01,39,104,85,6,25,2
01:23,0.2908,13.01,39,104,85,6,25,2
01:24,0.2939,13.01,39,105,85,6,25,2
01:25,0.2983,13.01,38,105,84,6,25,2
01:26,0.3020,12.84,38,106,84,6,25,2
01:27,0.3057,12.84,38,106,84,6,25,2
01:28,0.3082,12.84,39,106,85,6,25,2
01:29,0.3125,13.01,39,106,85,6,25,2
01:30,0.3157,13.01,39,106,85,6,25,2
01:31,0.3200,13.01,39,106,85,6,25,2
01:32,0.3225,13.01,39,105,85,6,25,2
01:33,0.3268,12.84,38,106,84,6,25,2
01:34,0.3306,12.84,38,106,84,6,25,2
01:35,0.3337,12.84,38,106,84,6,25,2
01:36,0.3368,12.84,37,107,83,6,25,2
01:37,0.3405,12.84,38,107,84,6,25,2
01:38,0.3436,12.84,38,106,84,6,25,2
01:39,0.3473,12.70,37,106,83,6,25,2
01:40,0.3505,12.70,37,106,83,6,25,2
01:41,0.3542,12.84,38,105,84,6,25,2
01:42,0.3567,12.84,38,105,84,6,25,2
01:43,0.3616,12.84,38,105,84,6,25,2
01:44,0.3647,12.84,38,105,84,6,25,2
01:45,0.3672,12.84,39,105,85,6,25,2
01:46,0.3710,13.01,39,105,85,6,25,2
01:47,0.3753,13.15,39,106,86,6,25,2
01:48,0.3778,13.15,39,106,86,6,25,2
01:49,0.3821,13.15,40,106,87,6,25,2
01:50,0.3853,13.31,40,106,87,6,25,2
01:51,0.3884,13.31,40,106,87,6,25,2
01:52,0.3927,13.31,40,106,87,6,25,2
01:53,0.3952,13.31,39,106,86,6,25,2
01:54,0.3995,13.15,39,106,85,6,25,2
01:55,0.4026,13.01,38,106,84,6,25,2
01:56,0.4045,12.84,38,105,84,6,25,2
01:57,0.4089,13.01,39,104,85,6,25,2
01:58,0.4113,13.01,39,104,85,6,25,2
01:59,0.4157,13.01,39,107,86,6,25,2
02:00,0.4194,13.15,39,108,86,6,25,2
02:01,0.4225,13.15,39,109,85,6,25,2
02:02,0.4263,13.01,39,110,85,6,25,2
02:03,0.4294,13.01,39,110,85,6,25,2
02:04,0.4331,13.15,39,109,86,6,25,2
02:05,0.4368,13.31,40,107,87,6,25,2
02:06,0.4393,13.31,40,106,87,6,25,2
02:07,0.4437,13.31,40,104,87,6,25,2
02:08,0.4480,13.31,40,105,87,6,25,2
02:09,0.4511,13.31,41,105,88,6,25,2
02:10,0.4542,13.46,42,106,89,6,25,2
02:11,0.4573,13.61,42,106,89,6,25,2
02:12,0.4617,13.61,41,108,88,6,25,2
02:13,0.4660,13.46,40,108,87,6,25,2
02:14,0.4685,13.31,40,108,87,6,25,2
02:15,0.4722,13.15,39,108,86,6,25,2
02:16,0.4753,13.15,39,109,86,6,25,2
02:17,0.4791,13.01,39,110,86,6,25,2
02:18,0.4816,13.15,39,111,86,6,25,2
02:19,0.4847,13.15,39,110,86,6,25,2
02:20,0.4896,13.15,39,110,85,6,25,2
02:21,0.4927,13.01,39,108,86,6,25,2
02:22,0.4952,13.15,39,108,86,6,25,2
02:23,0.4996,13.15,39,104,86,6,25,2
02:24,0.5027,13.15,39,104,86,6,25,2
02:25,0.5058,13.15,39,104,86,6,25,2
02:26,0.5108,13.15,39,105,86,6,25,2
02:27,0.5145,13.15,39,105,86,6,25,2
02:28,0.5170,13.01,39,105,85,6,25,2
02:29,0.5213,12.84,38,106,84,6,25,2
02:30,0.5238,12.84,38,106,84,6,25,2
02:31,0.5282,12.84,38,106,84,6,25,2
02:32,0.5307,12.84,38,106,84,6,25,2
02:33,0.5350,12.84,38,105,84,6,25,2
02:34,0.5375,12.84,38,105,84,6,25,2
02:35,0.5425,12.84,38,104,84,6,25,2
02:36,0.5456,12.84,38,104,84,6,25,2
02:37,0.5480,12.84,38,104,84,6,25,2
02:38,0.5524,12.84,38,104,84,6,25,2
02:39,0.5567,12.84,38,105,84,6,25,2
02:40,0.5592,12.84,38,105,84,6,25,2
02:41,0.5636,12.84,38,105,84,6,25,2
02:42,0.5661,12.84,38,106,84,6,25,2
02:43,0.5710,12.84,38,106,84,6,25,2
02:44,0.5741,13.01,39,105,85,6,25,2
02:45,0.5773,13.01,39,105,86,6,25,2
02:46,0.5810,13.15,39,104,86,6,25,2
02:47,0.5835,13.15,39,104,85,6,25,2
02:48,0.5872,13.01,39,104,85,6,25,2
02:49,0.5909,12.84,38,105,84,6,25,2
02:50,0.5934,12.84,37,105,83,6,25,2
02:51,0.5978,12.70,36,107,82,6,25,2
02:52,0.6002,12.54,36,107,82,6,25,2
02:53,0.6040,12.54,36,107,82,6,25,2
02:54,0.6083,12.54,37,106,83,6,25,2
02:55,0.6102,12.70,37,108,83,6,25,2
02:56,0.6145,12.70,37,109,83,6,25,2
02:57,0.6183,12.84,38,110,84,6,25,2
02:58,0.6207,12.84,39,110,85,6,25,2
02:59,0.6251,13.01,39,109,85,6,25,2
03:00,0.6276,13.01,39,108,85,6,25,2
03:01,0.6319,12.84,38,107,84,6,25,2
03:02,0.6350,12.84,38,104,84,6,25,2
03:03,0.6375,12.84,37,103,83,6,25,2
03:04,0.6425,12.70,38,101,84,6,25,2
03:05,0.6444,12.84,38,102,84,6,25,2
03:06,0.6487,12.84,39,103,85,6,25,2
03:07,0.6524,13.01,39,105,85,6,25,2
03:08,0.6555,13.01,39,107,85,6,25,2
03:09,0.6593,13.01,39,108,86,6,25,2
03:10,0.6618,13.15,39,108,85,6,25,2
03:11,0.6655,13.01,39,108,85,6,25,2
03:12,0.6698,13.01,39,108,85,6,25,2
03:13,0.6723,13.01,39,107,86,6,25,2
03:14,0.6761,13.15,39,107,85,6,25,2
03:15,0.6785,13.15,39,108,86,6,25,2
03:16,0.6823,13.15,39,108,86,6,25,2
03:17,0.6866,13.15,40,109,87,6,25,2
03:18,0.6897,13.31,40,109,87,6,25,2
03:19,0.6922,13.31,65,109,88,6,25,4
03:20,0.6966,13.61,66,108,89,6,25,4
03:21,0.6997,13.61,66,107,89,6,25,4
03:22,0.7040,13.46,65,107,88,6,25,4
03:23,0.7065,13.31,61,107,85,6,25,4
03:24,0.7096,13.01,56,107,81,6,25,4
03:25,0.7121,11.17,42,107,69,6,25,4
03:26,0.7133,10.10,38,107,65,6,25,4
03:27,0.7164,9.94,36,107,63,6,25,4
03:28,0.7195,9.33,33,106,60,6,25,4
03:29,0.7214,9.02,33,106,58,6,25,4
03:30,0.7227,9.02,33,107,59,6,25,4
03:31,0.7258,9.02,33,109,59,6,25,4
03:32,0.7282,9.02,33,109,59,6,25,4
03:33,0.7314,9.02,33,110,59,6,25,4
03:34,0.7326,9.02,33,110,58,6,25,4
03:35,0.7351,9.02,33,110,59,6,25,4
03:36,0.7369,9.02,33,110,59,6,25,4
03:37,0.7407,9.64,38,110,65,6,25,4
03:38,0.7425,10.10,41,110,68,6,25,4
03:39,0.7450,10.40,42,110,69,6,25,4
03:40,0.7481,10.86,46,110,72,6,25,4
03:41,0.7506,11.17,47,110,73,6,25,4
03:42,0.7525,11.31,48,111,74,6,25,4
03:43,0.7562,11.31,48,111,74,6,25,4
03:44,0.7593,11.31,49,112,75,6,25,4
03:45,0.7618,11.47,49,112,75,6,25,4
03:46,0.7649,11.62,50,112,76,6,25,4
03:47,0.7674,11.62,50,112,76,6,25,4
03:48,0.7705,11.78,51,112,77,6,25,4
03:49,0.7736,11.93,52,110,78,6,25,4
03:50,0.7761,12.08,55,110,80,6,25,4
03:51,0.7792,12.23,123,110,80,8,33,6
03:52,0.7829,13.34,126,111,81,8,33,6
03:53,0.7860,13.18,123,112,80,8,33,6
03:54,0.7879,13.01,119,112,78,8,33,6
03:55,0.7910,12.84,114,112,76,8,33,6
03:56,0.7935,12.18,107,112,73,8,33,6
03:57,0.7960,11.86,102,112,71,8,33,6
03:58,0.7985,11.70,104,112,72,8,33,6
03:59,0.8022,11.86,102,112,71,8,33,6
04:00,0.8047,11.86,102,112,71,8,33,6
04:01,0.8084,11.86,104,112,72,8,33,6
04:02,0.8103,11.86,107,112,73,8,33,6
04:03,0.8146,12.02,107,112,73,8,33,6
04:04,0.8183,12.02,107,113,73,8,33,6
04:05,0.8215,12.02,104,114,72,8,33,6
04:06,0.8233,11.86,104,114,72,8,33,6
04:07,0.8270,11.70,102,114,71,8,33,6
04:08,0.8295,11.70,97,115,69,8,33,6
04:09,0.8326,11.37,95,115,68,8,33,6
04:10,0.8351,11.20,95,114,68,8,33,6
04:11,0.8389,11.20,97,113,69,8,33,6
04:12,0.8426,11.37,97,112,69,8,33,6
04:13,0.8451,11.37,97,112,69,8,33,6
04:14,0.8482,11.37,95,112,68,8,33,6
04:15,0.8507,11.20,95,112,68,8,33,6
04:16,0.8544,11.20,95,112,68,8,33,6
04:17,0.8581,11.20,95,113,68,8,33,6
04:18,0.8600,11.20,95,112,68,8,33,6
04:19,0.8637,11.20,95,113,68,8,33,6
04:20,0.8662,11.20,95,112,68,8,33,6
04:21,0.8699,11.20,95,112,68,8,33,6
04:22,0.8730,11.20,95,112,68,8,33,6
04:23,0.8755,11.20,95,112,68,8,33,6
04:24,0.8792,11.20,95,112,68,8,33,6
04:25,0.8811,11.20,93,113,67,8,33,6
04:26,0.8848,11.03,93,113,67,8,33,6
04:27,0.8886,11.03,64,113,67,13,54,-1
04:28,0.8917,13.86,65,113,68,13,54,-1
04:29,0.8954,13.86,65,113,68,13,54,-1
04:30,0.8997,13.86,65,113,68,13,54,-1
04:31,0.9029,13.86,65,114,68,13,54,-1
04:32,0.9072,13.66,64,113,67,13,54,-1
04:33,0.9097,13.66,62,113,66,13,54,-1
04:34,0.9140,13.46,62,111,66,13,54,-1
04:35,0.9171,13.46,62,111,66,13,54,-1
04:36,0.9209,13.46,62,109,66,13,54,-1
04:37,0.9252,13.66,64,109,67,13,54,-1
04:38,0.9289,13.86,65,109,68,13,54,-1
04:39,0.9321,13.86,65,109,68,13,54,-1
04:40,0.9370,13.86,65,111,68,13,54,-1
04:41,0.9395,13.86,65,111,68,13,54,-1
04:42,0.9439,14.07,67,112,69,13,54,-1
04:43,0.9482,14.07,68,112,70,13,54,-1
04:44,0.9507,14.27,70,112,71,13,54,-1
04:45,0.9557,14.68,74,113,73,13,54,-1
04:46,0.9588,14.89,74,113,73,13,54,-1
04:47,0.9619,14.89,75,113,74,13,54,-1
04:48,0.9669,15.09,74,113,73,13,54,-1
04:49,0.9693,15.09,72,114,72,13,54,-1
04:50,0.9737,14.68,70,114,71,13,54,-1
04:51,0.9780,14.68,70,114,71,13,54,-1
04:52,0.9811,14.68,70,114,71,13,54,-1
04:53,0.9861,14.68,70,114,71,13,54,-1
04:54,0.9892,14.27,68,113,70,13,54,-1
04:55,0.9930,14.27,68,113,70,13,54,-1
04:56,0.9973,14.27,68,112,70,13,54,-1
04:57,1.0004,14.27,68,111,70,13,54,-1
04:58,1.0054,14.48,72,111,72,13,54,-1
04:59,1.0079,14.68,72,112,72,13,54,-1
05:00,1.0122,14.89,74,113,73,13,54,-1
05:01,1.0166,14.89,75,113,74,13,54,-1
05:02,1.0190,15.09,77,113,75,13,54,-1
05:03,1.0240,15.30,77,113,75,13,54,-1
05:04,1.0284,15.09,75,114,74,13,54,-1
05:05,1.0321,15.09,74,114,73,13,54,-1
05:06,1.0358,14.89,74,114,73,13,54,-1
05:07,1.0402,14.68,72,114,72,13,54,-1
05:08,1.0433,14.68,72,114,72,13,54,-1
05:09,1.0483,14.68,72,112,72,13,54,-1
05:10,1.0514,14.68,72,112,72,13,54,-1
05:11,1.0563,14.68,72,112,72,13,54,-1
05:12,1.0594,14.68,72,112,72,13,54,-1
05:13,1.0644,14.68,72,112,72,13,54,-1
05:14,1.0688,14.68,72,113,72,13,54,-1
05:15,1.0719,14.68,72,113,72,13,54,-1
05:16,1.0762,14.68,72,113,72,13,54,-1
05:17,1.0812,14.68,72,114,72,13,54,-1
05:18,1.0843,14.48,70,115,71,13,54,-1
05:19,1.0886,14.48,70,115,71,13,54,-1
05:20,1.0911,14.48,68,115,70,13,54,-1
05:21,1.0961,14.48,70,115,71,13,54,-1
05:22,1.0986,14.48,70,114,71,13,54,-1
05:23,1.1029,14.48,70,113,71,13,54,-1
05:24,1.1073,14.48,70,112,71,13,54,-1
05:25,1.1098,14.48,68,112,70,13,54,-1
05:26,1.1141,14.48,70,112,71,13,54,-1
05:27,1.1185,14.48,72,114,72,13,54,-1
05:28,1.1210,14.68,74,114,73,13,54,-1
05:29,1.1259,14.89,75,114,74,13,54,-1
05:30,1.1290,15.09,75,115,74,13,54,-1
05:31,1.1328,15.09,75,115,74,13,54,-1
05:32,1.1377,15.09,75,115,74,13,54,-1
05:33,1.1415,15.09,75,115,74,13,54,-1
05:34,1.1464,15.30,77,115,75,13,54,-1
05:35,1.1508,15.30,77,115,75,13,54,-1
05:36,1.1539,15.50,79,115,76,13,54,-1
05:37,1.1576,15.50,79,115,76,13,54,-1
05:38,1.1626,15.30,77,115,75,13,54,-1
05:39,1.1676,15.30,75,115,74,13,54,-1
05:40,1.1713,15.09,75,115,74,13,54,-1
05:41,1.1750,15.09,75,114,74,13,54,-1
05:42,1.1787,14.89,74,116,73,13,54,-1
05:43,1.1818,14.89,74,116,73,13,54,-1
05:44,1.1868,14.68,74,116,73,13,54,-1
05:45,1.1905,14.89,74,116,73,13,54,-1
05:46,1.1937,14.89,74,116,73,13,54,-1
05:47,1.1986,14.89,74,115,73,13,54,-1
05:48,1.2017,14.89,74,114,73,13,54,-1
05:49,1.2067,14.89,74,114,73,13,54,-1
05:50,1.2111,14.89,75,113,74,13,54,-1
05:51,1.2135,15.09,75,113,74,13,54,-1
05:52,1.2185,14.89,74,113,73,13,54,-1
05:53,1.2216,14.89,74,113,73,13,54,-1
05:54,1.2253,14.89,74,114,73,13,54,-1
05:55,1.2303,15.09,75,115,74,13,54,-1
05:56,1.2340,15.09,75,115,74,13,54,-1
05:57,1.2371,15.09,75,115,74,13,54,-1
05:58,1.2427,15.09,75,115,74,13,54,-1
05:59,1.2458,15.09,74,115,73,13,54,-1
06:00,1.2502,14.89,74,115,73,13,54,-1
06:01,1.2539,14.89,74,115,73,13,54,-1
06:02,1.2583,14.89,74,115,73,13,54,-1
06:03,1.2632,14.89,74,114,73,13,54,-1
06:04,1.2676,14.89,74,115,73,13,54,-1
06:05,1.2707,14.89,74,116,73,13,54,-1
06:06,1.2757,14.89,74,117,73,13,54,-1
06:07,1.2788,14.89,75,117,74,13,54,-1
06:08,1.2844,15.09,75,117,74,13,54,-1
06:09,1.2875,15.09,75,117,74,13,54,-1
06:10,1.2918,15.09,74,116,73,13,54,-1
06:11,1.2962,14.89,74,116,73,13,54,-1
06:12,1.2999,14.89,72,115,72,13,54,-1
06:13,1.3030,14.68,72,115,72,13,54,-1
06:14,1.3080,14.48,70,115,71,13,54,-1
06:15,1.3111,14.48,70,115,71,13,54,-1
06:16,1.3161,14.48,70,116,71,13,54,-1
06:17,1.3185,14.48,72,117,72,13,54,-1
06:18,1.3229,14.68,72,117,72,13,54,-1
06:19,1.3285,14.89,74,117,73,13,54,-1
06:20,1.3316,14.89,74,118,73,13,54,-1
06:21,1.3359,14.89,74,117,73,13,54,-1
06:22,1.3391,14.89,75,117,74,13,54,-1
06:23,1.3440,15.09,75,117,74,13,54,-1
06:24,1.3471,15.09,75,117,74,13,54,-1
06:25,1.3521,14.89,74,117,73,13,54,-1
06:26,1.3552,14.89,75,117,74,13,54,-1
06:27,1.3589,15.09,75,117,74,13,54,-1
06:28,1.3633,15.30,77,117,75,13,54,-1
06:29,1.3683,15.30,77,116,75,13,54,-1
06:30,1.3720,15.30,77,116,75,13,54,-1
06:31,1.3763,15.30,77,116,75,13,54,-1
06:32,1.3794,15.30,77,115,75,13,54,-1
06:33,1.3844,15.30,79,116,76,13,54,-1
06:34,1.3894,15.50,79,116,76,13,54,-1
06:35,1.3925,15.50,79,116,76,13,54,-1
06:36,1.3975,15.50,79,116,76,13,54,-1
06:37,1.4012,15.50,79,116,76,13,54,-1
06:38,1.4055,15.30,77,116,75,13,54,-1
06:39,1.4099,15.09,97,116,75,13,54,0
06:40,1.4130,15.30,97,116,75,13,54,0
06:41,1.4167,15.50,99,116,76,13,54,0
06:42,1.4217,15.50,99,116,76,13,54,0
06:43,1.4248,15.50,95,116,74,13,54,0
06:44,1.4285,15.09,95,117,74,13,54,0
06:45,1.4335,15.09,95,117,74,13,54,0
06:46,1.4372,15.09,95,117,74,13,54,0
06:47,1.4422,15.30,102,117,77,13,54,0
06:48,1.4453,15.91,106,116,79,13,54,0
06:49,1.4497,16.52,110,115,81,13,54,0
06:50,1.4528,16.52,113,116,82,13,54,0
06:51,1.4565,16.73,115,116,83,10,42,0
06:52,1.4615,14.81,62,116,84,10,42,0
06:53,1.4646,14.99,62,117,84,10,42,0
06:54,1.4702,14.99,62,118,84,10,42,0
06:55,1.4726,14.99,62,118,84,10,42,0
06:56,1.4776,14.99,64,118,85,10,42,0
06:57,1.4820,15.17,62,119,84,10,42,0
06:58,1.4863,14.99,62,120,84,10,42,0
06:59,1.4894,14.99,62,120,84,10,42,0
07:00,1.4944,14.99,62,120,84,10,42,0
07:01,1.4981,14.99,62,120,84,10,42,0
07:02,1.5012,14.99,62,120,84,10,42,0
07:03,1.5062,14.81,61,121,83,10,42,0
07:04,1.5093,14.81,61,121,83,10,42,0
07:05,1.5137,14.99,62,120,84,10,42,0
07:06,1.5174,14.99,62,119,84,10,42,0
07:07,1.5217,15.17,64,119,85,10,42,0
07:08,1.5267,15.17,64,119,85,10,42,0
07:09,1.5298,15.17,64,118,85,10,42,0
07:10,1.5348,15.17,62,118,84,10,42,0
07:11,1.5398,14.99,62,119,84,10,42,0
07:12,1.5422,14.99,62,119,84,10,42,0
07:13,1.5472,14.99,62,119,84,10,42,0
07:14,1.5503,14.99,62,119,84,10,42,0
07:15,1.5553,14.81,61,119,83,10,42,0
07:16,1.5590,14.63,61,119,83,10,42,0
07:17,1.5627,14.63,61,120,83,10,42,0
07:18,1.5677,14.63,61,120,83,10,42,0
07:19,1.5702,14.81,61,120,83,10,42,0
07:20,1.5752,14.81,61,120,83,10,42,0
07:21,1.5801,14.81,61,120,83,10,42,0
07:22,1.5833,14.81,61,120,83,10,42,0
07:23,1.5870,14.99,62,120,84,10,42,0
07:24,1.5907,14.99,62,121,84,10,42,0
07:25,1.5963,14.99,62,120,84,10,42,0
07:26,1.5994,14.81,61,120,83,10,42,0
07:27,1.6031,14.81,61,120,83,10,42,0
07:28,1.6075,14.81,61,120,83,10,42,0
07:29,1.6118,14.63,60,120,82,10,42,0
07:30,1.6149,14.63,60,120,82,10,42,0
07:31,1.6199,14.63,60,119,82,10,42,0
07:32,1.6230,14.63,60,119,82,10,42,0
07:33,1.6274,14.63,60,119,82,10,42,0
07:34,1.6305,14.63,61,119,83,10,42,0
07:35,1.6342,14.81,61,119,83,10,42,0
07:36,1.6386,14.63,60,119,82,10,42,0
07:37,1.6417,14.63,58,119,81,10,42,0
07:38,1.6460,14.45,58,118,81,10,42,0
07:39,1.6504,14.45,58,117,81,10,42,0
07:40,1.6535,14.45,58,118,81,10,42,0
07:41,1.6591,14.45,58,118,81,10,42,0
07:42,1.6615,14.45,58,119,81,10,42,0
07:43,1.6659,14.45,58,119,81,10,42,0
07:44,1.6709,14.45,58,119,81,10,42,0
07:45,1.6734,14.45,57,119,80,10,42,0
07:46,1.6777,14.27,57,119,80,10,42,0
07:47,1.6821,14.45,58,120,81,10,42,0
07:48,1.6852,14.45,60,120,82,10,42,0
07:49,1.6895,14.63,58,120,81,10,42,0
07:50,1.6932,14.63,58,120,81,10,42,0
07:51,1.6963,14.63,58,119,81,10,42,0
07:52,1.7013,14.63,58,120,81,10,42,0
07:53,1.7044,14.63,58,120,81,10,42,0
07:54,1.7113,14.63,58,120,81,10,42,0
07:55,1.7131,14.63,58,119,81,10,42,0
07:56,1.7162,14.63,58,119,81,10,42,0
07:57,1.7212,14.63,58,119,81,10,42,0
07:58,1.7243,14.63,58,119,81,10,42,0
07:59,1.7293,14.63,58,119,81,10,42,0
08:00,1.7330,14.27,57,119,80,10,42,0
08:01,1.7361,14.27,57,119,80,10,42,0
08:02,1.7411,14.45,58,119,81,10,42,0
08:03,1.7436,14.45,60,119,82,10,42,0
08:04,1.7479,14.63,60,120,82,10,42,0
08:05,1.7529,14.63,60,118,82,10,42,0
08:06,1.7560,14.63,60,119,82,10,42,0
08:07,1.7603,14.63,60,119,82,10,42,0
08:08,1.7641,14.63,60,119,82,10,42,0
08:09,1.7684,14.63,60,119,82,10,42,0
08:10,1.7722,14.63,60,120,82,10,42,0
08:11,1.7771,14.63,60,120,82,10,42,0
08:12,1.7802,14.81,61,119,83,10,42,0
08:13,1.7846,14.81,62,120,84,10,42,0
08:14,1.7877,14.99,62,120,84,10,42,0
08:15,1.7914,14.99,62,121,84,10,42,0
08:16,1.7958,15.17,64,121,85,10,42,0
08:17,1.8001,14.99,62,121,84,10,42,0
08:18,1.8032,14.99,62,121,84,10,42,0
08:19,1.8082,14.99,62,121,84,10,42,0
08:20,1.8132,14.99,62,121,84,10,42,0
08:21,1.8156,14.99,61,121,83,10,42,0
08:22,1.8200,14.81,61,121,83,10,42,0
08:23,1.8237,14.81,61,121,83,10,42,0
08:24,1.8293,14.81,61,121,83,10,42,0
08:25,1.8324,14.81,61,121,83,10,42,0
08:26,1.8374,14.63,70,121,82,9,38,2
08:27,1.8405,14.05,69,121,81,9,38,2
08:28,1.8449,13.71,67,120,80,9,38,2
08:29,1.8473,13.71,67,120,80,9,38,2
08:30,1.8517,13.88,70,120,82,9,38,2
08:31,1.8548,14.05,70,120,82,9,38,2
08:32,1.8598,14.22,72,122,83,9,38,2
08:33,1.8629,14.22,72,121,83,9,38,2
08:34,1.8660,14.22,72,121,83,9,38,2
08:35,1.8709,14.22,72,121,83,9,38,2
08:36,1.8753,14.22,72,121,83,9,38,2
08:37,1.8784,14.22,72,121,83,9,38,2
08:38,1.8828,14.05,70,120,82,9,38,2
08:39,1.8852,14.05,70,120,82,9,38,2
08:40,1.8896,14.05,70,121,82,9,38,2
08:41,1.8939,14.05,70,121,82,9,38,2
08:42,1.8970,14.05,73,121,84,9,38,2
08:43,1.9014,14.40,73,121,84,9,38,2
08:44,1.9057,14.22,73,121,84,9,38,2
08:45,1.9082,14.40,72,121,83,9,38,2
08:46,1.9120,14.22,72,122,83,9,38,2
08:47,1.9169,14.05,72,121,83,9,38,2
08:48,1.9200,14.22,72,121,83,9,38,2
08:49,1.9244,14.05,70,121,82,9,38,2
08:50,1.9269,14.05,70,121,82,9,38,2
08:51,1.9318,14.05,70,120,82,9,38,2
08:52,1.9343,14.05,72,120,83,9,38,2
08:53,1.9387,14.99,51,120,84,10,42,-1
08:54,1.9436,14.99,51,120,84,10,42,-1
08:55,1.9468,14.99,51,121,84,10,42,-1
08:56,1.9511,14.99,51,122,84,10,42,-1
08:57,1.9542,14.99,49,121,82,10,42,-1
08:58,1.9586,14.63,48,121,81,10,42,-1
08:59,1.9629,14.27,48,121,81,10,42,-1
09:00,1.9660,14.27,48,121,81,10,42,-1
09:01,1.9691,14.27,48,121,81,10,42,-1
09:02,1.9741,14.63,49,121,82,10,42,-1
09:03,1.9766,14.63,50,122,83,10,42,-1
09:04,1.9809,14.99,51,122,84,10,42,0
09:05,1.9840,14.99,64,122,85,10,42,0
09:06,1.9884,15.17,62,123,84,10,42,0
09:07,1.9934,15.17,62,122,84,10,42,0
09:08,1.9965,15.17,62,122,84,10,42,0
