Stages_Data
Metric
Time,Kilometers,KPH,Watts,HR,RPM
1:56,0.80,26.32,92,114,83
1:57,0.80,25.52,85,114,82
1:58,0.81,26.55,94,114,83
1:59,0.82,26.98,98,114,82
2:00,0.83,27.40,102,114,83
2:01,0.83,27.92,107,113,84
2:02,0.84,26.44,93,114,83
2:03,0.85,25.99,89,114,84
2:04,0.86,26.87,97,114,85
2:05,0.86,27.29,101,114,84
2:06,0.87,27.92,107,115,84
2:07,0.88,27.92,107,115,84
2:08,0.89,27.71,105,115,84
2:09,0.89,28.11,109,115,83
2:10,0.90,27.71,105,115,84
2:11,0.91,26.98,98,115,84
2:12,0.92,27.82,106,116,85
2:13,0.92,27.82,106,116,84
2:14,0.93,28.03,108,115,86
2:15,0.94,28.22,110,115,87
2:16,0.95,27.51,103,115,87
2:17,0.96,27.29,101,115,85
2:18,0.96,26.66,95,115,83
2:19,0.97,28.90,117,115,86
2:20,0.98,28.61,114,115,86
2:21,0.99,28.51,113,115,87
2:22,0.99,26.10,90,115,85
2:23,1.00,26.87,97,115,85
2:24,1.01,27.29,101,115,85
2:25,1.02,27.82,106,115,85
2:26,1.02,27.92,107,115,85
2:27,1.03,27.29,101,115,85
2:28,1.04,27.08,99,115,85
2:29,1.05,27.40,102,115,84
2:30,1.05,26.77,96,115,84
2:31,1.06,26.55,94,115,85
2:32,1.07,27.29,101,115,84
2:33,1.08,27.82,106,115,85
2:34,1.08,26.44,93,116,84
2:35,1.09,25.99,89,116,84
2:36,1.10,26.44,93,116,84
2:37,1.11,28.03,108,115,84
2:38,1.11,27.51,103,115,84
2:39,1.12,26.10,90,115,83
2:40,1.13,26.32,92,115,83
2:41,1.14,25.99,89,115,82
2:42,1.14,27.82,106,114,84
2:43,1.15,27.51,103,114,84
2:44,1.16,28.03,108,114,85
2:45,1.17,25.16,82,114,87
2:46,1.17,26.10,90,114,86
2:47,1.18,28.03,108,114,84
2:48,1.19,27.71,105,115,84
2:49,1.20,27.71,105,115,84
2:50,1.20,27.51,103,116,86
2:51,1.21,29.54,124,116,88
2:52,1.22,28.22,110,117,86
2:53,1.23,29.37,122,117,86
2:54,1.24,29.37,122,117,86
2:55,1.24,27.82,106,117,83
2:56,1.25,28.80,116,116,83
2:57,1.26,29.09,119,116,84
2:58,1.27,31.40,145,116,84
2:59,1.28,30.88,139,116,86
3:00,1.28,27.71,105,116,84
3:01,1.29,28.51,113,116,83
3:02,1.30,28.90,117,115,82
3:03,1.31,29.09,119,115,83
3:04,1.32,29.54,124,115,83
3:05,1.32,29.54,124,116,83
3:06,1.33,28.90,117,115,84
3:07,1.34,29.27,121,116,84
3:08,1.35,27.61,104,116,83
3:09,1.36,28.90,117,116,83
3:10,1.36,29.09,119,115,82
3:11,1.37,28.11,109,115,84
3:12,1.38,28.51,113,115,83
3:13,1.39,29.00,118,115,83
3:14,1.40,29.37,122,115,83
3:15,1.40,28.51,113,116,83
3:16,1.41,29.83,127,116,83
3:17,1.42,29.27,121,116,83
3:18,1.43,29.37,122,116,84
3:19,1.44,29.37,122,116,84
3:20,1.45,27.61,104,117,83
3:21,1.45,28.61,114,117,82
3:22,1.46,29.37,122,117,83
3:23,1.47,29.46,123,117,82
3:24,1.48,30.45,134,117,83
3:25,1.49,29.91,128,117,84
3:26,1.49,29.72,126,118,84
3:27,1.50,29.54,124,118,84
3:28,1.51,29.37,122,118,84
3:29,1.52,28.80,116,117,83
3:30,1.53,29.37,122,117,83
3:31,1.54,28.90,117,117,83
3:32,1.54,27.71,105,117,84
3:33,1.55,28.11,109,117,85
3:34,1.56,27.71,105,117,86
3:35,1.57,27.92,107,117,83
3:36,1.57,27.19,100,117,84
3:37,1.58,27.40,102,117,84
3:38,1.59,26.77,96,118,82
3:39,1.60,27.40,102,117,82
3:40,1.60,28.90,117,117,83
3:41,1.61,28.90,117,118,83
3:42,1.62,28.32,111,118,83
3:43,1.63,28.03,108,118,83
3:44,1.64,28.32,111,117,83
3:45,1.64,27.92,107,118,84
3:46,1.65,28.51,113,117,83
3:47,1.66,28.61,114,117,83
3:48,1.67,27.92,107,117,82
3:49,1.67,28.61,114,117,83
3:50,1.68,27.92,107,116,84
3:51,1.69,28.32,111,116,83
3:52,1.70,29.09,119,116,84
3:53,1.71,28.80,116,117,84
3:54,1.71,28.03,108,116,85
3:55,1.72,28.80,116,116,85
3:56,1.73,27.92,107,116,84
3:57,1.74,28.03,108,116,82
3:58,1.75,29.00,118,116,83
3:59,1.75,27.82,106,116,83
4:00,1.76,28.51,113,116,83
4:01,1.77,28.42,112,116,82
4:02,1.78,28.71,115,116,83
4:03,1.78,29.27,121,116,83
4:04,1.79,29.27,121,116,84
4:05,1.80,28.03,108,116,83
4:06,1.81,28.51,113,116,83
4:07,1.82,28.32,111,116,84
4:08,1.82,28.80,116,116,84
4:09,1.83,28.03,108,116,83
4:10,1.84,27.19,100,116,82
4:11,1.85,27.71,105,116,82
4:12,1.86,27.71,105,116,82
4:13,1.86,28.51,113,116,82
4:14,1.87,28.11,109,116,82
4:15,1.88,27.19,100,116,82
4:16,1.89,30.53,135,116,83
4:17,1.90,33.29,169,116,82
4:18,1.90,31.96,152,116,83
4:19,1.91,27.71,105,117,83
4:20,1.92,28.32,111,117,84
4:21,1.93,27.71,105,118,83
4:22,1.94,28.22,110,118,83
4:23,1.94,28.42,112,119,82
4:24,1.95,30.01,129,119,85
4:25,1.96,28.80,116,119,83
4:26,1.97,27.51,103,120,82
4:27,1.98,29.46,123,120,84
4:28,1.98,27.82,106,119,83
4:29,1.99,30.19,131,119,84
4:30,2.00,30.09,130,118,85
4:31,2.01,30.01,129,118,86
4:32,2.02,28.80,116,118,86
4:33,2.02,28.71,115,119,84
4:34,2.03,29.37,122,119,84
4:35,2.04,29.72,126,120,84
4:36,2.05,29.46,123,120,83
4:37,2.06,28.80,116,120,83
4:38,2.07,29.27,121,120,84
4:39,2.07,29.09,119,120,84
4:40,2.08,28.51,113,120,84
4:41,2.09,27.82,106,120,83
4:42,2.10,26.87,97,120,81
4:43,2.10,27.82,106,120,81
4:44,2.11,28.03,108,121,82
4:45,2.12,27.71,105,121,82
4:46,2.13,28.51,113,121,83
4:47,2.14,28.51,113,120,85
4:48,2.14,27.51,103,120,84
4:49,2.15,28.42,112,120,83
4:50,2.16,29.00,118,119,85
4:51,2.17,28.90,117,118,86
4:52,2.18,29.46,123,118,87
4:53,2.18,28.90,117,119,86
4:54,2.19,29.64,125,119,87
4:55,2.20,29.64,125,119,87
4:56,2.21,29.17,120,119,88
4:57,2.21,24.29,75,119,85
4:58,2.22,0.00,0,119,76
4:59,2.22,0.00,0,118,67
5:00,2.22,0.00,0,118,67
5:01,2.22,0.00,0,118,67
5:02,2.22,0.00,0,117,67
5:03,2.22,0.00,0,117,67
5:04,2.22,0.00,0,117,67
5:05,2.22,0.00,0,118,67
5:06,2.22,0.00,0,118,67
5:07,2.22,0.00,0,119,67
5:08,2.22,0.00,0,119,67
5:09,2.22,0.00,0,120,67
5:10,2.22,0.00,0,120,67
5:11,2.22,0.00,0,120,67
5:12,2.22,0.00,0,120,67
5:13,2.22,0.00,0,119,67
5:14,2.22,0.00,0,119,67
5:15,2.22,0.00,0,119,0
5:16,2.22,0.00,0,118,0
5:17,2.22,0.00,0,118,0
5:18,2.22,0.00,0,116,0
5:19,2.22,0.00,0,115,0
5:20,2.22,0.00,0,114,0
5:21,2.22,0.00,0,114,0
5:22,2.22,0.00,0,114,0
5:23,2.22,0.00,0,115,0
5:24,2.22,0.00,0,116,0
5:25,2.22,0.00,0,117,0
5:26,2.22,0.00,0,117,0
5:27,2.22,0.00,0,117,0
5:28,2.22,0.00,0,117,0
5:29,2.22,0.00,0,117,0
5:30,2.22,22.65,63,110,67
5:31,2.23,29.00,118,109,77
5:32,2.24,26.66,95,109,84
5:33,2.24,26.21,91,109,84
5:34,2.25,27.19,100,109,85
5:35,2.26,24.67,78,109,85
5:36,2.27,26.10,90,109,85
5:37,2.27,26.66,95,108,84
5:38,2.28,27.08,99,108,83
5:39,2.29,26.44,93,107,82
5:40,2.30,28.71,115,107,85
5:41,2.30,29.00,118,107,85
5:42,2.31,28.61,114,108,86
5:43,2.32,29.91,128,109,87
5:44,2.33,28.03,108,110,90
5:45,2.34,28.22,110,111,92
5:46,2.34,27.51,103,111,90
5:47,2.35,27.08,99,112,89
5:48,2.36,27.29,101,112,88
5:49,2.37,27.40,102,113,87
5:50,2.37,28.22,110,113,88
5:51,2.38,27.71,105,113,88
5:52,2.39,26.77,96,114,87
5:53,2.40,28.32,111,113,89
5:54,2.41,27.61,104,114,87
5:55,2.41,27.61,104,114,87
5:56,2.42,28.42,112,114,88
5:57,2.43,27.51,103,114,88
5:58,2.44,27.08,99,114,87
5:59,2.44,28.11,109,114,87
6:00,2.45,27.40,102,114,87
6:01,2.46,27.29,101,114,87
6:02,2.47,27.51,103,114,86
6:03,2.47,27.19,100,114,86
6:04,2.48,26.77,96,114,86
6:05,2.49,27.61,104,114,87
6:06,2.50,28.03,108,114,87
6:07,2.50,26.98,98,115,86
6:08,2.51,27.40,102,115,86
6:09,2.52,28.51,113,115,86
6:10,2.53,27.92,107,116,86
6:11,2.54,27.71,105,116,86
6:12,2.54,27.61,104,116,87
6:13,2.55,27.19,100,116,86
6:14,2.56,28.32,111,116,87
6:15,2.57,27.61,104,116,85
6:16,2.57,28.90,117,116,86
6:17,2.58,29.83,127,116,88
6:18,2.59,29.37,122,117,90
6:19,2.60,28.71,115,117,90
6:20,2.61,27.82,106,117,89
6:21,2.61,27.19,100,117,88
6:22,2.62,27.92,107,118,88
6:23,2.63,28.80,116,118,87
6:24,2.64,27.71,105,117,88
6:25,2.65,27.92,107,118,88
6:26,2.65,28.11,109,117,87
6:27,2.66,27.61,104,117,85
6:28,2.67,27.51,103,117,84
6:29,2.68,28.11,109,117,88
6:30,2.68,28.11,109,117,85
6:31,2.69,29.09,119,117,88
6:32,2.70,27.82,106,117,89
6:33,2.71,27.40,102,117,88
6:34,2.72,27.82,106,118,87
6:35,2.72,28.11,109,118,87
6:36,2.73,27.71,105,118,86
6:37,2.74,28.03,108,118,86
6:38,2.75,28.03,108,117,86
6:39,2.75,28.51,113,118,87
6:40,2.76,28.71,115,117,88
6:41,2.77,29.09,119,118,89
6:42,2.78,29.46,123,118,90
6:43,2.79,28.42,112,118,89
6:44,2.79,29.83,127,118,89
6:45,2.80,27.08,99,118,89
6:46,2.81,27.61,104,118,89
6:47,2.82,28.22,110,118,88
6:48,2.83,28.51,113,118,88
6:49,2.83,28.51,113,119,88
6:50,2.84,29.27,121,119,89
6:51,2.85,29.00,118,119,89
6:52,2.86,29.27,121,119,89
6:53,2.87,31.14,142,119,91
6:54,2.88,30.78,138,119,92
6:55,2.88,28.11,109,119,92
6:56,2.89,28.11,109,119,92
6:57,2.90,28.71,115,119,90
6:58,2.91,28.71,115,119,90
6:59,2.91,29.00,118,119,91
7:00,2.92,28.80,116,119,91
7:01,2.93,29.00,118,119,91
7:02,2.94,29.17,120,120,90
7:03,2.95,28.61,114,120,91
7:04,2.95,28.11,109,120,92
7:05,2.96,27.71,105,120,90
7:06,2.97,28.11,109,120,89
7:07,2.98,29.64,125,119,90
7:08,2.99,27.82,106,119,89
7:09,2.99,28.90,117,119,90
7:10,3.00,29.27,121,119,90
7:11,3.01,28.51,113,119,90
7:12,3.02,29.27,121,119,91
7:13,3.03,28.80,116,120,91
7:14,3.03,29.46,123,120,92
7:15,3.04,28.42,112,121,92
7:16,3.05,28.42,112,122,91
7:17,3.06,29.54,124,122,91
7:18,3.07,28.42,112,122,91
7:19,3.07,28.42,112,122,91
7:20,3.08,28.80,116,122,91
7:21,3.09,28.32,111,122,91
7:22,3.10,28.71,115,122,92
7:23,3.11,28.03,108,122,91
7:24,3.11,27.92,107,122,89
7:25,3.12,27.61,104,122,90
7:26,3.13,28.71,115,121,90
7:27,3.14,28.22,110,120,90
7:28,3.14,29.64,125,120,90
7:29,3.15,29.09,119,120,91
7:30,3.16,28.51,113,120,91
7:31,3.17,29.83,127,120,91
7:32,3.18,28.61,114,120,91
7:33,3.19,28.61,114,120,91
7:34,3.19,28.32,111,120,91
7:35,3.20,28.51,113,120,90
7:36,3.21,28.80,116,120,91
7:37,3.22,29.00,118,119,91
7:38,3.23,28.61,114,119,91
7:39,3.23,28.80,116,119,91
7:40,3.24,28.32,111,119,91
7:41,3.25,29.37,122,119,92
7:42,3.26,28.90,117,119,92
7:43,3.27,28.71,115,119,92
7:44,3.27,28.11,109,120,91
7:45,3.28,27.51,103,120,91
7:46,3.29,28.90,117,120,90
7:47,3.30,27.71,105,120,90
7:48,3.30,29.37,122,120,90
7:49,3.31,29.00,118,120,90
7:50,3.32,28.22,110,121,90
7:51,3.33,28.22,110,122,90
7:52,3.34,29.46,123,122,93
7:53,3.34,29.54,124,123,93
7:54,3.35,28.51,113,123,92
7:55,3.36,29.00,118,124,92
7:56,3.37,28.71,115,124,92
7:57,3.38,28.42,112,125,92
7:58,3.38,28.11,109,125,91
7:59,3.39,28.61,114,125,91
8:00,3.40,28.80,116,125,91
8:01,3.41,28.32,111,124,91
8:02,3.42,29.00,118,124,91
8:03,3.42,29.46,123,124,91
8:04,3.43,28.80,116,123,93
8:05,3.44,29.00,118,123,93
8:06,3.45,28.22,110,123,92
8:07,3.46,29.00,118,123,92
8:08,3.46,28.71,115,123,92
8:09,3.47,29.00,118,123,92
8:10,3.48,29.72,126,123,92
8:11,3.49,29.46,123,123,92
8:12,3.50,27.40,102,122,91
8:13,3.50,27.82,106,122,91
8:14,3.51,28.71,115,122,90
8:15,3.52,28.71,115,121,90
8:16,3.53,28.51,113,121,91
8:17,3.54,29.09,119,121,91
8:18,3.54,28.42,112,121,91
8:19,3.55,29.54,124,121,93
8:20,3.56,28.32,111,122,95
8:21,3.57,27.61,104,123,94
8:22,3.58,28.51,113,123,92
8:23,3.58,30.53,135,124,93
8:24,3.59,29.09,119,124,93
8:25,3.60,28.03,108,125,93
8:26,3.61,28.61,114,125,93
8:27,3.62,28.90,117,126,94
8:28,3.62,28.61,114,126,94
8:29,3.63,28.42,112,126,92
8:30,3.64,29.17,120,126,92
8:31,3.65,28.22,110,125,92
8:32,3.66,30.01,129,125,91
8:33,3.66,29.54,124,124,93
8:34,3.67,29.83,127,122,93
8:35,3.68,28.80,116,122,93
8:36,3.69,28.71,115,121,92
8:37,3.70,27.92,107,121,90
8:38,3.70,29.00,118,121,89
8:39,3.71,30.36,133,121,92
8:40,3.72,29.91,128,121,92
8:41,3.73,30.70,137,121,93
8:42,3.74,28.90,117,122,94
8:43,3.75,28.32,111,123,95
8:44,3.75,26.44,93,124,93
8:45,3.76,27.40,102,123,92
8:46,3.77,28.61,114,123,91
8:47,3.78,29.37,122,123,92
8:48,3.78,29.17,120,122,92
8:49,3.79,30.01,129,122,93
8:50,3.80,30.27,132,122,95
8:51,3.81,29.46,123,122,96
8:52,3.82,28.03,108,123,95
8:53,3.83,28.51,113,122,94
8:54,3.83,28.11,109,122,93
8:55,3.84,28.61,114,122,93
8:56,3.85,29.46,123,121,95
8:57,3.86,29.00,118,121,94
8:58,3.87,31.72,149,121,94
8:59,3.87,23.49,69,121,92
9:00,3.88,29.46,123,121,92
9:01,3.89,28.42,112,120,91
9:02,3.90,27.92,107,121,91
9:03,3.90,28.32,111,121,93
9:04,3.91,27.82,106,122,93
9:05,3.92,28.22,110,123,92
9:06,3.93,28.22,110,123,92
9:07,3.94,28.42,112,123,92
9:08,3.94,27.82,106,123,91
9:09,3.95,28.80,116,123,90
9:10,3.96,29.46,123,123,91
9:11,3.97,29.37,122,123,92
9:12,3.98,29.00,118,122,92
9:13,3.98,28.90,117,122,92
9:14,3.99,28.90,117,121,92
9:15,4.00,29.17,120,121,92
9:16,4.01,29.91,128,121,92
9:17,4.02,28.90,117,121,94
9:18,4.02,28.90,117,121,94
9:19,4.03,27.61,104,121,93
9:20,4.04,28.22,110,121,92
9:21,4.05,28.61,114,121,93
9:22,4.06,28.80,116,121,93
9:23,4.06,29.54,124,121,93
9:24,4.07,30.27,132,121,93
9:25,4.08,29.27,121,121,94
9:26,4.09,28.80,116,122,95
9:27,4.10,29.17,120,122,94
9:28,4.10,28.42,112,123,93
9:29,4.11,28.32,111,123,93
9:30,4.12,28.11,109,123,93
9:31,4.13,28.71,115,123,92
9:32,4.14,28.22,110,123,92
9:33,4.14,28.71,115,123,92
9:34,4.15,28.80,116,123,93
9:35,4.16,28.42,112,123,91
9:36,4.17,28.03,108,123,91
9:37,4.18,28.42,112,123,91
9:38,4.18,29.64,125,123,92
9:39,4.19,29.46,123,123,92
9:40,4.20,28.11,109,122,92
9:41,4.21,29.17,120,122,92
9:42,4.22,28.03,108,122,92
9:43,4.22,28.71,115,122,92
9:44,4.23,29.46,123,122,92
9:45,4.24,29.72,126,123,93
9:46,4.25,28.90,117,123,94
9:47,4.26,29.09,119,122,93
9:48,4.26,29.37,122,123,93
9:49,4.27,29.17,120,123,94
9:50,4.28,29.37,122,123,94
9:51,4.29,28.03,108,123,93
9:52,4.30,28.51,113,123,93
9:53,4.30,29.00,118,123,92
9:54,4.31,28.42,112,122,92
9:55,4.32,29.17,120,123,92
9:56,4.33,28.22,110,122,92
9:57,4.34,28.51,113,123,92
9:58,4.34,27.71,105,123,92
9:59,4.35,28.42,112,124,91
10:00,4.36,28.11,109,124,91
10:01,4.37,28.03,108,124,92
10:02,4.38,27.61,104,124,92
10:03,4.38,29.00,118,123,91
10:04,4.39,29.00,118,123,90
10:05,4.40,29.83,127,123,91
10:06,4.41,29.17,120,122,92
10:07,4.42,31.14,142,122,93
10:08,4.42,30.01,129,122,93
10:09,4.43,28.90,117,122,92
10:10,4.44,28.90,117,123,91
10:11,4.45,28.42,112,123,89
10:12,4.46,28.32,111,123,89
10:13,4.46,31.04,141,123,90
10:14,4.47,29.83,127,124,91
10:15,4.48,29.27,121,124,91
10:16,4.49,29.09,119,123,91
10:17,4.50,29.27,121,123,89
10:18,4.51,29.91,128,123,90
10:19,4.51,28.51,113,123,90
10:20,4.52,27.92,107,124,90
10:21,4.53,28.22,110,124,88
10:22,4.54,30.19,131,125,89
10:23,4.55,30.27,132,124,91
10:24,4.55,29.72,126,124,92
10:25,4.56,28.71,115,125,92
10:26,4.57,28.22,110,125,92
10:27,4.58,29.83,127,125,91
10:28,4.59,29.72,126,124,92
10:29,4.59,30.45,134,125,93
10:30,4.60,30.53,135,125,93
10:31,4.61,28.03,108,125,93
10:32,4.62,28.80,116,126,92
10:33,4.63,30.36,133,126,92
10:34,4.64,29.64,125,126,92
10:35,4.64,29.64,125,125,94
10:36,4.65,27.71,105,125,93
10:37,4.66,30.53,135,125,92
10:38,4.67,28.42,112,125,93
10:39,4.68,26.98,98,126,93
10:40,4.68,28.11,109,126,93
10:41,4.69,29.27,121,126,93
10:42,4.70,29.17,120,126,94
10:43,4.71,28.80,116,125,95
10:44,4.72,29.83,127,125,95
10:45,4.72,28.42,112,125,96
10:46,4.73,27.61,104,125,94
10:47,4.74,29.17,120,125,94
10:48,4.75,30.19,131,125,94
10:49,4.76,28.80,116,125,95
10:50,4.76,27.61,104,125,96
10:51,4.77,27.92,107,125,94
10:52,4.78,28.11,109,125,93
10:53,4.79,28.32,111,125,93
10:54,4.80,28.51,113,125,92
10:55,4.80,30.36,133,123,94
10:56,4.81,29.54,124,122,95
10:57,4.82,26.98,98,122,93
10:58,4.83,27.71,105,121,92
10:59,4.83,27.61,104,120,91
11:00,4.84,27.61,104,120,91
11:01,4.85,28.11,109,120,91
11:02,4.86,28.90,117,120,92
11:03,4.87,28.42,112,120,92
11:04,4.87,27.82,106,120,91
11:05,4.88,28.11,109,120,91
11:06,4.89,28.03,108,120,91
11:07,4.90,28.80,116,120,91
11:08,4.91,28.80,116,120,91
11:09,4.91,28.90,117,121,92
11:10,4.92,29.54,124,120,93
11:11,4.93,29.17,120,121,94
11:12,4.94,28.11,109,121,93
11:13,4.95,29.00,118,120,92
11:14,4.95,29.27,121,120,93
11:15,4.96,27.71,105,120,93
11:16,4.97,27.40,102,120,92
11:17,4.98,29.64,125,120,92
11:18,4.99,29.27,121,119,93
11:19,4.99,28.42,112,119,92
11:20,5.00,30.19,131,119,93
11:21,5.01,29.72,126,119,93
11:22,5.02,27.71,105,119,92
11:23,5.03,27.61,104,119,92
11:24,5.03,28.61,114,119,91
11:25,5.04,28.80,116,119,91
11:26,5.05,28.61,114,119,91
11:27,5.06,28.42,112,118,91
11:28,5.07,29.72,126,118,92
11:29,5.07,29.83,127,119,93
11:30,5.08,29.17,120,119,94
11:31,5.09,29.17,120,120,94
11:32,5.10,29.17,120,120,94
11:33,5.11,29.37,122,120,94
11:34,5.11,28.03,108,120,93
11:35,5.12,28.32,111,120,93
11:36,5.13,29.00,118,121,92
11:37,5.14,29.00,118,121,92
11:38,5.15,28.51,113,121,92
11:39,5.15,28.22,110,121,92
11:40,5.16,29.46,123,120,92
11:41,5.17,28.80,116,120,93
11:42,5.18,29.27,121,120,93
11:43,5.19,29.17,120,120,92
11:44,5.20,31.14,142,121,93
11:45,5.20,28.90,117,121,92
11:46,5.21,29.00,118,121,91
11:47,5.22,28.11,109,121,91
11:48,5.23,28.32,111,121,91
11:49,5.24,29.27,121,121,91
11:50,5.24,30.01,129,120,91
11:51,5.25,28.61,114,120,91
11:52,5.26,28.61,114,121,91
11:53,5.27,28.32,111,120,91
11:54,5.28,28.51,113,120,90
11:55,5.28,29.09,119,120,91
11:56,5.29,28.61,114,120,91
11:57,5.30,29.37,122,120,91
11:58,5.31,28.80,116,120,91
11:59,5.32,28.51,113,120,91
12:00,5.32,28.32,111,119,90
12:01,5.33,27.61,104,119,89
12:02,5.34,27.82,106,119,89
12:03,5.35,28.11,109,119,89
12:04,5.35,28.42,112,119,90
12:05,5.36,29.17,120,119,90
12:06,5.37,29.00,118,119,90
12:07,5.38,29.09,119,119,91
12:08,5.39,30.27,132,119,92
12:09,5.40,30.01,129,119,93
12:10,5.40,31.14,142,119,93
12:11,5.41,28.71,115,119,94
12:12,5.42,29.83,127,119,93
12:13,5.43,36.66,218,120,88
12:14,5.44,34.81,190,120,87
12:15,5.45,28.61,114,121,91
12:16,5.46,27.82,106,122,91
12:17,5.46,29.37,122,122,92
12:18,5.47,27.92,107,123,92
12:19,5.48,28.71,115,123,92
12:20,5.49,28.61,114,123,91
12:21,5.50,28.90,117,122,92
12:22,5.50,29.91,128,122,93
12:23,5.51,27.82,106,121,93
12:24,5.52,28.80,116,121,93
12:25,5.53,29.17,120,121,92
12:26,5.54,29.00,118,122,92
12:27,5.54,29.09,119,122,93
12:28,5.55,28.22,110,122,93
12:29,5.56,27.92,107,122,92
12:30,5.57,29.17,120,122,92
12:31,5.58,29.09,119,122,94
12:32,5.58,28.61,114,122,94
12:33,5.59,30.09,130,122,93
12:34,5.60,29.46,123,122,94
12:35,5.61,29.46,123,122,94
12:36,5.62,28.51,113,122,93
12:37,5.62,28.51,113,122,92
12:38,5.63,28.42,112,121,91
12:39,5.64,28.90,117,120,92
12:40,5.65,29.09,119,119,91
12:41,5.66,29.09,119,119,92
12:42,5.66,29.54,124,119,93
12:43,5.67,28.80,116,119,93
12:44,5.68,28.32,111,120,93
12:45,5.69,29.17,120,120,92
12:46,5.70,29.83,127,120,93
12:47,5.70,29.83,127,120,94
12:48,5.71,28.61,114,120,93
12:49,5.72,27.71,105,120,92
12:50,5.73,28.90,117,120,94
12:51,5.74,29.00,118,120,92
12:52,5.74,29.72,126,120,93
12:53,5.75,30.09,130,120,94
