
Stage_Workout (min),Distance(km),Speed(km/h),Watts ,HR ,RPM 
12.4,6.793,38.61,250,155,65
12.5,6.856,38.21,243,156,64
12.6,6.920,38.78,253,157,66
12.7,6.983,39.36,263,157,71
12.8,7.047,38.03,240,158,68
12.9,7.104,29.17,120,160,25
13.0,7.164,38.43,247,159,67
13.1,7.227,33.65,174,160,48
13.2,7.283,35.63,202,159,69
13.3,7.347,38.56,249,158,67
13.4,7.411,38.61,250,159,71
13.5,7.477,39.24,261,162,67
13.6,7.543,39.73,270,162,69
13.7,7.609,39.46,265,164,70
13.8,7.677,40.96,293,165,74
13.9,7.746,41.72,308,165,79
14.0,7.816,41.41,302,165,74
14.1,7.885,41.81,310,166,76
14.2,7.955,41.22,298,167,75
14.3,8.023,41.62,306,168,74
14.4,8.092,41.26,299,169,74
14.5,8.162,42.46,323,171,74
14.6,8.232,42.26,319,171,76
14.7,8.297,33.44,171,171,51
14.8,8.335,19.69,45,167,63
14.9,8.365,16.08,29,164,47
15.0,8.393,17.11,33,162,59
15.1,8.424,21.27,54,159,85
15.2,8.466,25.63,86,158,107
15.3,8.510,27.61,104,158,107
15.4,8.556,28.03,108,157,106
15.5,8.603,27.71,105,153,105
15.6,8.648,27.40,102,152,104
15.7,8.694,27.29,101,150,105
15.8,8.740,27.51,103,147,108
15.9,8.785,27.40,102,146,106
16.0,8.831,27.61,104,143,107
16.1,8.876,27.40,102,144,106
16.2,8.921,26.66,95,142,103
16.3,8.966,27.19,100,142,109
16.4,9.012,27.40,102,143,106
16.5,9.057,26.77,96,142,104
16.6,9.103,27.61,104,142,106
16.7,9.149,27.51,103,142,105
16.8,9.194,27.51,103,141,108
16.9,9.240,26.87,97,141,104
17.0,9.285,27.40,102,142,105
17.1,9.331,26.98,98,144,103
17.2,9.376,27.61,104,145,107
17.3,9.422,27.29,101,146,105
17.4,9.467,26.77,96,148,102
17.5,9.513,27.61,104,146,106
17.6,9.556,24.17,74,146,106
17.7,9.602,27.40,102,146,108
17.8,9.645,25.16,82,146,109
17.9,9.689,28.11,109,148,111
18.0,9.736,27.92,107,148,109
18.1,9.783,27.92,107,147,108
18.3,9.880,28.51,113,145,108
18.4,9.927,28.03,108,144,109
18.5,9.974,28.11,109,145,109
18.6,10.019,24.42,76,145,108
18.7,10.057,23.09,66,145,107
18.8,10.105,30.53,135,145,106
18.9,10.152,25.05,81,145,69
19.0,10.198,28.90,117,144,44
19.1,10.251,32.59,160,146,58
19.2,10.305,33.21,168,146,57
19.3,10.359,31.14,142,145,54
19.4,10.412,31.64,148,144,52
19.5,10.466,32.04,153,143,54
19.6,10.521,33.29,169,143,53
19.7,10.577,33.87,177,144,57
19.8,10.632,32.44,158,145,54
19.9,10.686,32.89,164,146,54
20.0,10.741,35.28,197,146,54
20.1,10.799,34.81,190,145,57
20.2,10.858,37.11,225,146,60
20.3,10.917,36.61,217,147,60
20.4,10.977,35.63,202,147,57
20.5,11.037,35.42,199,147,55
20.6,11.097,35.36,198,147,55
20.7,11.157,33.79,176,147,52
20.8,11.213,33.13,167,149,53
20.9,11.272,36.61,217,149,54
21.0,11.333,36.87,221,151,56
21.1,11.394,38.03,240,151,59
21.2,11.454,35.76,204,153,59
21.3,11.512,34.24,182,152,58
21.4,11.569,32.81,163,152,55
21.5,11.626,32.89,164,154,54
21.6,11.682,34.45,185,155,58
21.7,11.738,33.44,171,153,53
21.8,11.796,35.76,204,152,54
21.9,11.856,35.28,197,152,53
22.0,11.913,34.24,182,150,56
22.1,11.970,34.10,180,150,57
22.2,12.026,34.24,182,151,58
22.3,12.081,33.29,169,152,59
22.4,12.138,35.08,194,151,57
22.5,12.198,36.87,221,150,56
22.6,12.255,32.44,158,149,54
22.7,12.311,32.75,162,149,53
22.8,12.368,33.79,176,148,53
22.9,12.424,33.21,168,148,54
23.0,12.480,34.10,180,149,58
23.1,12.537,36.16,210,148,58
23.2,12.598,37.37,229,148,58
23.3,12.660,37.29,228,149,58
23.4,12.719,34.37,184,149,56
23.5,12.776,33.73,175,149,56
23.6,12.834,37.79,236,149,58
23.7,12.896,35.95,207,149,61
23.8,12.961,38.32,245,150,60
23.9,13.024,36.66,218,150,59
24.0,13.086,37.55,232,152,60
24.1,13.148,37.05,224,154,59
24.2,13.209,37.29,228,155,59
24.3,13.271,36.61,217,156,59
24.4,13.333,37.24,227,157,60
24.5,13.396,38.90,255,158,62
24.6,13.462,40.54,285,159,61
24.7,13.525,37.42,230,160,62
24.8,13.590,38.25,244,160,59
24.9,13.658,41.36,301,159,62
25.0,13.725,41.36,301,160,66
25.1,13.793,40.22,279,160,65
25.2,13.861,41.51,304,160,64
25.3,13.931,41.81,310,160,65
25.4,13.999,43.10,337,161,77
25.5,14.076,46.13,408,160,71
25.6,14.131,23.36,68,161,70
25.7,14.165,20.24,48,159,80
25.8,14.197,18.48,39,156,79
25.9,14.228,18.90,41,155,80
26.0,14.261,19.88,46,155,82
26.1,14.294,20.24,48,155,80
26.2,14.329,21.91,58,155,98
26.3,14.367,22.80,64,154,97
26.4,14.405,22.51,62,150,99
26.5,14.442,22.65,63,147,99
26.6,14.480,22.65,63,144,97
26.7,14.517,21.74,57,143,94
26.8,14.554,21.91,58,142,98
26.9,14.591,22.06,59,139,98
27.0,14.628,22.22,60,135,96
27.1,14.666,22.80,64,133,103
27.2,14.704,23.09,66,133,100
27.4,14.780,22.22,60,134,98
27.5,14.817,21.91,58,134,98
27.6,14.855,22.22,60,133,104
27.7,14.893,22.22,60,133,99
27.8,14.930,22.65,63,133,99
27.9,14.966,20.41,49,133,102
28.0,15.003,21.91,58,132,91
28.1,15.039,21.43,55,133,99
28.2,15.077,23.91,72,134,107
28.3,15.117,24.29,75,136,104
28.4,15.157,23.78,71,137,102
28.5,15.196,23.63,70,137,107
28.6,15.235,22.80,64,139,104
28.7,15.274,24.29,75,139,107
28.8,15.314,24.17,74,137,110
28.9,15.355,24.55,77,139,108
29.0,15.394,23.36,68,139,108
29.1,15.433,24.55,77,142,110
29.2,15.477,28.22,110,142,108
29.3,15.516,24.04,73,141,107
29.4,15.556,23.36,68,141,109
29.5,15.595,22.80,64,142,107
29.6,15.632,22.06,59,141,104
29.7,15.667,19.69,45,140,86
29.8,15.712,32.59,160,139,54
29.9,15.765,32.75,162,140,53
30.0,15.825,35.02,193,140,54
30.1,15.884,36.03,208,140,54
30.2,15.945,35.82,205,143,58
30.3,16.004,35.28,197,145,56
30.5,16.126,40.27,280,149,71
30.6,16.200,45.11,383,151,79
30.7,16.266,32.67,161,152,47
30.8,16.320,35.36,198,153,56
30.9,16.379,35.90,206,153,51
31.0,16.438,35.42,199,155,52
31.1,16.496,34.33,183,156,50
31.2,16.555,35.55,201,157,52
31.3,16.618,38.32,245,157,54
31.4,16.681,35.82,205,160,53
31.5,16.742,35.90,206,158,53
31.6,16.808,45.53,393,157,88
31.7,16.885,40.49,284,157,54
31.8,16.940,30.27,132,157,41
31.9,16.991,26.77,96,156,24
32.0,17.048,36.74,219,155,47
32.1,17.112,38.21,243,155,48
32.2,17.179,38.85,254,157,41
32.3,17.225,23.09,66,159,24
32.4,17.295,41.62,306,157,58
32.5,17.364,42.49,324,158,52
32.6,17.438,48.85,483,158,77
32.7,17.522,42.81,331,159,22
32.8,17.580,33.73,175,159,46
32.9,17.630,28.22,110,158,27
33.0,17.688,40.01,275,157,58
33.1,17.756,40.80,290,158,58
33.2,17.824,40.01,275,160,55
33.3,17.883,32.04,153,159,41
33.4,17.944,38.38,246,156,61
33.5,18.008,38.67,251,156,57
33.6,18.072,37.55,232,157,56
33.7,18.131,37.72,235,156,59
33.8,18.185,33.36,170,155,61
33.9,18.249,40.17,278,156,65
34.0,18.314,38.85,254,157,62
34.1,18.379,38.56,249,158,63
34.2,18.444,39.46,265,158,62
34.3,18.510,39.24,261,159,64
34.4,18.576,39.80,271,159,63
34.5,18.641,38.90,255,158,61
34.6,18.712,45.89,402,159,86
34.7,18.784,34.16,181,161,33
34.8,18.828,23.09,66,160,69
34.9,18.864,21.74,57,159,71
35.0,18.900,21.43,55,160,72
35.1,18.936,21.59,56,160,74
35.2,18.975,21.74,57,158,90
35.3,19.010,21.09,53,156,102
35.4,19.044,19.69,45,153,93
35.5,19.080,21.59,56,148,108
35.6,19.115,20.77,51,145,95
35.7,19.150,20.77,51,143,99
35.8,19.190,26.32,92,140,102
35.9,19.234,26.10,90,137,99
36.0,19.277,26.87,97,138,100
36.1,19.321,25.76,87,136,98
36.2,19.365,27.19,100,135,110
36.3,19.410,26.55,94,135,105
36.4,19.455,27.71,105,135,105
36.5,19.501,25.41,84,135,101
36.6,19.539,22.22,60,135,103
36.7,19.575,20.77,51,134,87
36.8,19.611,22.22,60,130,102
36.9,19.648,22.94,65,131,100
37.0,19.686,22.94,65,133,101
37.1,19.724,22.80,64,134,101
37.2,19.762,22.51,62,136,99
37.3,19.800,23.23,67,134,101
37.4,19.839,23.09,66,132,102
37.5,19.877,23.23,67,133,100
37.6,19.914,21.59,56,132,91
37.7,19.958,32.99,165,132,87
37.8,20.015,31.56,147,135,89
37.9,20.066,30.70,137,138,99
38.0,20.118,31.30,144,140,102
38.1,20.171,31.22,143,141,100
38.2,20.223,31.22,143,141,100
38.3,20.274,31.72,149,142,105
38.4,20.327,30.96,140,143,98
38.5,20.379,30.88,139,144,99
38.6,20.428,27.92,107,145,59
38.7,20.481,33.79,176,145,62
38.8,20.542,38.43,247,144,66
38.9,20.607,39.41,264,144,72
39.0,20.671,38.32,245,146,67
39.1,20.734,38.61,250,147,65
39.2,20.797,37.72,235,148,63
39.3,20.860,38.67,251,148,70
39.4,20.924,39.01,257,151,67
39.6,21.051,36.16,210,153,59
39.7,21.108,34.33,183,152,66
39.8,21.169,36.98,223,152,79
39.9,21.230,37.05,224,152,82
40.0,21.292,35.82,205,153,73
40.1,21.350,35.23,196,153,74
40.2,21.409,35.23,196,152,73
40.3,21.470,37.72,235,152,79
40.4,21.533,36.92,222,153,74
40.5,21.591,33.44,171,152,73
40.6,21.653,38.78,253,151,83
40.7,21.721,41.86,311,150,91
40.8,21.785,38.03,240,151,98
40.9,21.848,35.76,204,152,89
41.0,21.908,37.67,234,151,95
41.1,21.970,37.48,231,151,91
41.2,22.033,37.17,226,150,90
41.3,22.095,38.56,249,150,100
41.4,22.162,42.02,314,152,110
41.5,22.233,42.68,328,153,110
41.6,22.304,42.34,321,155,113
41.7,22.368,31.56,147,156,84
41.8,22.398,12.11,17,155,58
41.9,22.414,9.77,12,152,72
42.0,22.430,9.23,11,150,55
42.1,22.446,9.23,11,149,57
42.2,22.459,7.37,8,146,50
42.3,22.471,7.37,8,147,52
42.4,22.483,7.37,8,146,50
42.5,22.496,7.37,8,145,51
42.7,22.520,7.37,8,130,53
42.8,22.532,7.37,8,127,52
42.9,22.545,7.37,8,126,58
43.0,22.557,6.70,7,128,40
43.1,22.566,3.36,3,122,16


Stage_Totals
Total Time,43.1,minutes
Total_distance:,22.567,
Speed Avg(km/h),31.38,
Watts Avg,163
HR Avg,146
RPM Avg,77
Speed Max (km/h),53.50,
Watts Max,643
HR Max,171
RPM Max,231
KCal,496

