Stages_Data,,,,,
English,,,,,
Time,Miles,MPH,Watts,HR,RPM
4:27,1.1,16.07,88,108,62
4:28,1.11,16.07,88,107,61
4:29,1.11,16.14,89,107,62
4:30,1.12,16.21,90,107,64
4:31,1.12,15.92,86,106,63
4:32,1.12,16.49,94,106,63
4:33,1.13,16.49,94,106,62
4:34,1.13,16.14,89,106,62
4:35,1.14,18.01,118,106,66
4:36,1.14,17.71,113,106,67
4:37,1.15,16.69,97,106,65
4:38,1.15,16.69,97,107,65
4:39,1.16,17.28,106,107,65
4:40,1.16,17.41,108,107,67
4:41,1.17,16.89,100,107,66
4:42,1.17,16.95,101,107,68
4:43,1.18,18.24,122,107,70
4:44,1.18,19.39,143,108,70
4:45,1.19,19.07,137,108,69
4:46,1.19,17.59,111,109,68
4:47,1.2,17.83,115,109,68
4:48,1.2,18.3,123,109,67
4:49,1.21,18.58,128,110,67
4:50,1.21,18.58,128,111,67
4:51,1.22,18.53,127,112,68
4:52,1.22,18.69,130,113,69
4:53,1.23,18.75,131,113,68
4:54,1.23,19.07,137,114,71
4:55,1.24,19.02,136,114,70
4:56,1.24,18.53,127,114,69
4:57,1.25,18.64,129,115,70
4:58,1.25,18.3,123,115,68
4:59,1.26,17.71,113,115,67
5:00,1.26,17.89,116,115,66
5:01,1.27,17.83,115,115,66
5:02,1.27,18.3,123,115,66
5:03,1.28,18.12,120,115,67
5:04,1.28,18.58,128,115,66
5:05,1.29,18.41,125,115,66
5:06,1.29,18.41,125,115,67
5:07,1.3,18.8,132,115,65
5:08,1.31,18.86,133,115,66
5:09,1.31,19.07,137,114,67
5:10,1.32,19.34,142,114,67
5:11,1.32,19.12,138,114,67
5:12,1.33,18.58,128,114,69
5:13,1.33,18.3,123,114,67
5:14,1.34,18.3,123,114,67
5:15,1.34,18.3,123,115,68
5:16,1.35,18.41,125,115,68
5:17,1.35,18.12,120,115,67
5:18,1.36,18.12,120,115,67
5:19,1.36,18.69,130,115,68
5:20,1.37,17.71,113,115,68
5:21,1.37,16.82,99,114,66
5:22,1.38,18.3,123,114,65
5:23,1.38,18.3,123,114,65
5:24,1.39,18.46,126,114,64
5:25,1.39,17.53,110,113,64
5:26,1.4,18.46,126,113,65
5:27,1.4,18.91,134,113,66
5:28,1.41,18.41,125,112,66
5:29,1.41,19.5,145,112,68
5:30,1.42,19.07,137,112,67
5:31,1.42,18.3,123,112,69
5:32,1.43,17.71,113,111,67
5:33,1.43,18.3,123,111,67
5:34,1.44,18.3,123,111,67
5:35,1.44,17.41,108,111,65
5:36,1.45,17.53,110,111,64
5:37,1.45,18.07,119,111,65
5:38,1.46,18.24,122,111,64
5:39,1.46,18.46,126,111,65
5:40,1.47,18.07,119,111,65
5:41,1.47,18.18,121,111,66
5:42,1.48,19.07,137,111,68
5:43,1.48,17.83,115,110,67
5:44,1.49,17.46,109,110,66
5:45,1.49,17.59,111,110,64
5:46,1.5,17.77,114,110,64
5:47,1.5,18.07,119,110,64
5:48,1.51,18.01,118,110,64
5:49,1.51,18.01,118,110,64
5:50,1.52,16.35,92,111,63
5:51,1.52,16.69,97,111,62
5:52,1.53,17.53,110,112,61
5:53,1.53,17.41,108,112,62
5:54,1.54,17.15,104,111,61
5:55,1.54,17.46,109,111,62
5:56,1.55,17.53,110,110,61
5:57,1.55,17.34,107,110,62
5:58,1.56,17.09,103,110,62
5:59,1.56,18.46,126,109,64
6:00,1.57,18.24,122,109,64
6:01,1.57,16.49,94,109,63
6:02,1.58,17.21,105,109,64
6:03,1.58,17.28,106,110,63
6:04,1.58,17.21,105,110,64
6:05,1.59,17.21,105,110,63
6:06,1.59,17.02,102,110,62
6:07,1.6,17.28,106,110,62
6:08,1.6,17.77,114,109,63
6:09,1.61,17.89,116,109,63
6:10,1.61,18.46,126,108,64
6:11,1.62,18.01,118,108,64
6:12,1.62,17.02,102,108,65
6:13,1.63,17.02,102,108,65
6:14,1.63,17.89,116,109,64
6:15,1.64,18.41,125,109,66
6:16,1.64,18.18,121,110,66
6:17,1.65,17.59,111,110,64
6:18,1.65,17.53,110,111,64
6:19,1.66,17.46,109,111,63
6:20,1.66,16.89,100,111,64
6:21,1.67,17.53,110,111,64
6:22,1.67,18.46,126,111,66
6:23,1.68,17.89,116,110,65
6:24,1.68,17.53,110,110,64
6:25,1.69,17.71,113,110,66
6:26,1.69,18.12,120,110,67
6:27,1.7,16.89,100,110,66
6:28,1.7,16.56,95,110,64
6:29,1.71,18.41,125,111,65
6:30,1.71,18.53,127,111,65
6:31,1.72,17.77,114,110,65
6:32,1.72,17.34,107,110,65
6:33,1.73,17.46,109,110,63
6:34,1.73,18.07,119,110,64
6:35,1.74,17.15,104,110,64
6:36,1.74,17.53,110,110,64
6:37,1.75,17.71,113,110,63
6:38,1.75,17.46,109,110,63
6:39,1.76,17.53,110,110,64
6:40,1.76,16.69,97,110,63
6:41,1.77,17.02,102,109,64
6:42,1.77,17.28,106,109,63
6:43,1.78,17.28,106,108,63
6:44,1.78,17.15,104,108,63
6:45,1.78,16.89,100,108,62
6:46,1.79,16.76,98,108,62
6:47,1.79,17.21,105,109,62
6:48,1.8,17.21,105,109,62
6:49,1.8,17.02,102,109,62
6:50,1.81,16.56,95,110,62
6:51,1.81,16.69,97,110,63
6:52,1.82,16.49,94,110,63
6:53,1.82,16.49,94,109,62
6:54,1.83,16.56,95,109,62
6:55,1.83,16.49,94,109,62
6:56,1.84,17.09,103,110,62
6:57,1.84,17.02,102,110,63
6:58,1.85,17.09,103,110,64
6:59,1.85,17.71,113,110,65
7:00,1.86,17.89,116,111,66
7:01,1.86,17.21,105,110,64
7:02,1.86,16.76,98,110,63
7:03,1.87,16.76,98,110,63
7:04,1.87,17.02,102,109,62
7:05,1.88,17.59,111,109,62
7:06,1.88,16.82,99,109,63
7:07,1.89,16.69,97,109,62
7:08,1.89,17.15,104,109,61
7:09,1.9,16.82,99,109,60
7:10,1.9,16.14,89,109,60
7:11,1.91,16.89,100,109,60
7:12,1.91,17.09,103,109,61
7:13,1.92,16.42,93,109,60
7:14,1.92,16.35,92,109,61
7:15,1.93,16.69,97,109,61
7:16,1.93,17.21,105,109,62
7:17,1.94,17.28,106,109,62
7:18,1.94,16.95,101,108,61
7:19,1.94,16.69,97,108,61
7:20,1.95,16.49,94,109,61
7:21,1.95,16.49,94,109,61
7:22,1.96,16.49,94,109,60
7:23,1.96,17.02,102,109,61
7:24,1.97,16.49,94,109,61
7:25,1.97,16.49,94,109,61
7:26,1.98,16.35,92,108,60
7:27,1.98,16.35,92,108,60
7:28,1.99,16.69,97,108,60
7:29,1.99,16.35,92,108,62
7:30,1.99,16.35,92,108,62
7:31,2,17.65,112,108,62
7:32,2,16.69,97,109,62
7:33,2.01,16.69,97,109,62
7:34,2.01,15.25,77,109,59
7:35,2.02,14.59,69,110,57
7:36,2.02,14.59,69,110,57
7:37,2.03,16.95,101,110,56
7:38,2.03,16.07,88,110,59
7:39,2.04,15.01,74,111,60
7:40,2.04,16.76,98,111,62
7:41,2.04,15.48,80,111,59
7:42,2.05,17.46,109,112,62
7:43,2.05,17.41,108,112,64
7:44,2.06,16.49,94,113,64
7:45,2.06,15.25,77,114,61
7:46,2.07,14.07,63,115,57
7:47,2.07,14.07,63,115,57
7:48,2.07,13.01,52,116,53
7:49,2.08,10.16,30,116,45
7:50,2.08,10.16,30,116,45
7:51,2.08,10.16,30,115,45
7:52,2.09,10.16,30,115,45
7:53,2.09,10.16,30,114,45
7:54,2.09,4.16,7,112,27
7:55,2.09,4.16,7,112,27
7:56,2.09,0,0,110,16
7:57,2.09,0,0,108,16
7:58,2.09,0,0,107,16
7:59,2.09,10.48,32,107,23
8:00,2.1,10.48,32,106,23
8:01,2.1,12.68,49,107,32
8:02,2.1,14.85,72,107,44
8:03,2.11,14.07,63,108,46
8:04,2.11,12.23,45,109,47
8:05,2.12,12.23,45,109,47
8:06,2.12,12.57,48,110,47
8:07,2.12,13.21,54,110,50
8:08,2.13,13.41,56,110,53
8:09,2.13,14.16,64,109,53
8:10,2.13,14.16,64,109,53
8:11,2.14,13.41,56,107,52
8:12,2.14,13.61,58,106,51
8:13,2.15,13.61,58,106,51
8:14,2.15,14.07,63,103,53
8:15,2.15,13.98,62,102,52
8:16,2.16,13.21,54,102,51
8:17,2.16,13.61,58,102,52
8:18,2.16,13.7,59,102,52
8:19,2.17,12.45,47,102,51
8:20,2.17,12.45,47,102,51
8:21,2.18,13.41,56,102,52
8:22,2.18,14.43,67,102,52
8:23,2.18,14.43,67,103,52
8:24,2.19,13.61,58,103,52
8:25,2.19,13.7,59,103,54
8:26,2.19,14.43,67,104,55
8:27,2.2,14.93,73,104,57
8:28,2.2,14.77,71,105,57
8:29,2.21,14.77,71,105,57
8:30,2.21,14.16,64,104,56
8:31,2.22,14.51,68,104,56
8:32,2.22,14.16,64,104,55
8:33,2.22,14.59,69,104,55
8:34,2.23,14.43,67,104,55
8:35,2.23,14.07,63,105,56
8:36,2.23,13.7,59,106,56
8:37,2.24,14.07,63,106,55
8:38,2.24,14.68,70,107,55
8:39,2.25,15.01,74,107,56
8:40,2.25,14.16,64,107,55
8:41,2.25,14.16,64,107,55
8:42,2.26,13.01,52,107,55
8:43,2.26,13.21,54,107,55
8:44,2.27,13.8,60,107,55
8:45,2.27,14.16,64,107,56
8:46,2.27,13.98,62,108,56
8:47,2.28,14.59,69,108,57
8:48,2.28,14.07,63,109,58
8:49,2.29,14.68,70,109,60
8:50,2.29,16.56,95,109,62
8:51,2.29,16.63,96,110,63
8:52,2.3,16.63,96,110,64
8:53,2.3,15.78,84,110,62
8:54,2.31,16.28,91,111,61
8:55,2.31,16.95,101,112,61
8:56,2.32,17.09,103,112,60
8:57,2.32,16.35,92,113,59
8:58,2.33,15.71,83,114,60
8:59,2.33,16.76,98,115,60
9:00,2.34,17.21,105,115,62
9:01,2.34,17.28,106,116,63
9:02,2.35,17.41,108,115,64
9:03,2.35,17.28,106,115,64
9:04,2.36,16.28,91,114,63
9:05,2.36,16.89,100,113,63
9:06,2.36,16.56,95,112,63
9:07,2.37,16.76,98,111,62
9:08,2.37,16.76,98,111,62
9:09,2.38,15.92,86,111,60
9:10,2.38,15.92,86,111,60
9:11,2.39,16.35,92,111,61
9:12,2.39,16.28,91,111,62
9:13,2.4,16.07,88,112,62
9:14,2.4,15.09,75,112,62
9:15,2.4,16.14,89,112,63
9:16,2.41,17.65,112,112,64
9:17,2.41,17.41,108,112,64
9:18,2.42,16.76,98,112,62
9:19,2.42,16.35,92,112,61
9:20,2.43,16.69,97,111,61
9:21,2.43,17.09,103,111,62
9:22,2.44,16.49,94,111,61
9:23,2.44,16.89,100,111,61
9:24,2.45,17.02,102,111,61
9:25,2.45,16.56,95,111,62
9:26,2.46,16.89,100,111,62
9:27,2.46,18.12,120,111,63
9:28,2.47,18.35,124,111,65
9:29,2.47,18.18,121,111,65
9:30,2.48,17.21,105,111,63
9:31,2.48,15.09,75,111,63
9:32,2.48,15.56,81,111,64
9:33,2.49,16.35,92,111,63
9:34,2.49,16.69,97,111,63
9:35,2.5,17.21,105,111,62
9:36,2.5,16.69,97,112,63
9:37,2.51,16.69,97,112,63
9:38,2.51,17.53,110,112,61
9:39,2.52,17.53,110,113,61
9:40,2.52,17.21,105,113,62
9:41,2.53,15.25,77,112,60
9:42,2.53,16.69,97,112,62
9:43,2.54,17.46,109,112,62
9:44,2.54,16.89,100,112,61
9:45,2.55,16.89,100,112,61
9:46,2.55,16.95,101,112,61
9:47,2.56,16.28,91,112,60
9:48,2.56,16.28,91,113,60
9:49,2.56,17.15,104,113,61
9:50,2.57,15.92,86,113,60
9:51,2.57,15.71,83,113,60
9:52,2.58,15.71,83,112,60
9:53,2.58,16.14,89,112,60
9:54,2.59,16.14,89,112,60
9:55,2.59,16.76,98,111,60
9:56,2.6,16.76,98,111,60
9:57,2.6,16.28,91,110,60
9:58,2.61,16.28,91,110,60
9:59,2.61,15.32,78,110,59
10:00,2.61,16.07,88,109,58
10:01,2.62,16.07,88,109,58
10:02,2.62,17.28,106,109,60
10:03,2.63,15.78,84,109,61
10:04,2.63,15.32,78,109,60
10:05,2.64,15.32,78,109,57
10:06,2.64,15.92,86,110,57
10:07,2.64,15.48,80,110,57
10:08,2.65,16.07,88,109,59
10:09,2.65,15.92,86,110,59
10:10,2.66,15.09,75,110,58
10:11,2.66,14.68,70,110,58
10:12,2.67,15.92,86,110,57
10:13,2.67,16.76,98,111,59
10:14,2.68,16.14,89,111,58
10:15,2.68,15.56,81,111,58
10:16,2.68,15.71,83,111,57
10:17,2.69,15.78,84,110,57
10:18,2.69,16.56,95,110,58
10:19,2.7,17.21,105,110,58
10:20,2.7,16.69,97,110,60
10:21,2.71,15.63,82,110,58
10:22,2.71,16.35,92,111,59
10:23,2.72,17.15,104,111,59
10:24,2.72,16.76,98,111,60
10:25,2.72,15.63,82,111,59
10:26,2.73,15.63,82,111,59
10:27,2.73,16.49,94,111,59
10:28,2.74,17.15,104,111,59
10:29,2.74,16.95,101,110,60
10:30,2.75,16.95,101,110,60
10:31,2.75,17.65,112,109,63
10:32,2.76,17.09,103,109,62
10:33,2.76,17.71,113,109,63
10:34,2.77,17.41,108,110,62
10:35,2.77,17.02,102,110,65
10:36,2.78,18.07,119,111,64
10:37,2.78,17.89,116,111,66
10:38,2.79,17.71,113,112,67
10:39,2.79,18.12,120,112,66
10:40,2.8,17.53,110,112,66
10:41,2.8,17.09,103,111,65
10:42,2.81,16.76,98,111,64
10:43,2.81,16.69,97,111,63
10:44,2.82,17.21,105,111,62
10:45,2.82,17.41,108,111,63
10:46,2.83,16.28,91,112,62
10:47,2.83,17.95,117,112,63
10:48,2.83,17.95,117,112,63
10:49,2.84,16.69,97,113,63
10:50,2.84,16.76,98,112,62
10:51,2.85,17.46,109,112,61
10:52,2.85,16.89,100,112,63
10:53,2.86,16.76,98,112,63
10:54,2.86,16.76,98,111,63
10:55,2.87,15.92,86,111,60
10:56,2.87,16.14,89,111,60
10:57,2.88,17.09,103,111,61
10:58,2.88,17.09,103,111,61
10:59,2.89,16.63,96,111,61
11:00,2.89,16.69,97,111,62
11:01,2.9,16.49,94,110,62
11:02,2.9,16.49,94,110,63
11:03,2.9,17.41,108,110,63
11:04,2.91,17.28,106,110,62
11:05,2.91,16.07,88,110,61
11:06,2.92,15.4,79,110,60
11:07,2.92,15.85,85,110,60
11:08,2.93,16.35,92,110,60
11:09,2.93,16.35,92,110,59
11:10,2.94,16.28,91,109,59
11:11,2.94,16.35,92,109,59
11:12,2.95,16.28,91,109,59
11:13,2.95,16.07,88,109,59
11:14,2.95,16.07,88,110,59
11:15,2.96,16.49,94,110,58
11:16,2.96,16.35,92,110,58
11:17,2.97,16.35,92,110,58
11:18,2.97,15.92,86,110,60
11:19,2.98,15.63,82,109,58
11:20,2.98,15.63,82,109,58
11:21,2.99,16.35,92,109,58
11:22,2.99,16,87,110,57
11:23,2.99,16,87,110,58
11:24,3,16.89,100,110,60
11:25,3,16.35,92,110,60
11:26,3.01,17.09,103,110,62
11:27,3.01,17.41,108,110,64
11:28,3.02,16.28,91,110,62
11:29,3.02,15.92,86,109,61
11:30,3.03,16.56,95,109,60
11:31,3.03,16.56,95,109,60
11:32,3.04,16.63,96,109,60
11:33,3.04,16.63,96,109,60
11:34,3.05,17.71,113,109,63
11:35,3.05,17.71,113,109,63
11:36,3.06,17.02,102,110,62
11:37,3.06,17.02,102,111,62
11:38,3.06,16.56,95,111,62
11:39,3.07,16.56,95,112,62
11:40,3.07,17.77,114,112,64
11:41,3.08,16.89,100,112,62
11:42,3.08,16.89,100,112,62
11:43,3.09,16,87,112,64
11:44,3.09,17.02,102,113,63
11:45,3.1,17.09,103,113,63
11:46,3.1,16.82,99,113,62
11:47,3.11,16.82,99,113,61
11:48,3.11,17.09,103,112,62
11:49,3.12,17.77,114,112,63
11:50,3.12,16,87,112,61
11:51,3.13,16.69,97,112,61
11:52,3.13,17.59,111,113,62
11:53,3.14,17.28,106,113,62
11:54,3.14,17.09,103,113,63
11:55,3.14,16.89,100,114,63
11:56,3.15,18.64,129,114,65
11:57,3.16,18.46,126,114,64
11:58,3.16,17.41,108,114,63
11:59,3.16,17.21,105,113,63
12:00,3.17,16.07,88,113,61
12:01,3.17,14.85,72,113,59
12:02,3.18,17.15,104,113,60
12:03,3.18,18.41,125,113,62
12:04,3.19,17.09,103,113,63
12:05,3.19,16.89,100,114,62
12:06,3.2,16.76,98,114,62
12:07,3.2,16.89,100,114,61
12:08,3.21,16.56,95,114,61
12:09,3.21,16.69,97,114,61
12:10,3.22,17.46,109,114,60
12:11,3.22,17.77,114,114,62
12:12,3.23,17.77,114,114,64
12:13,3.23,17.09,103,114,62
12:14,3.24,16.69,97,113,63
12:15,3.24,16.49,94,113,62
12:16,3.24,17.02,102,113,62
12:17,3.25,17.65,112,113,63
12:18,3.25,17.65,112,113,63
12:19,3.26,16.69,97,113,62
12:20,3.26,16.69,97,113,62
12:21,3.27,16.69,97,112,61
12:22,3.27,16.69,97,112,61
12:23,3.28,16.49,94,112,60
12:24,3.28,16.49,94,112,60
12:25,3.29,16.35,92,113,60
12:26,3.29,16.35,92,113,60
12:27,3.3,16.21,90,113,59
12:28,3.3,16.63,96,113,60
12:29,3.31,17.09,103,113,61
12:30,3.31,16.69,97,112,61
12:31,3.31,15.85,85,112,61
12:32,3.32,15.85,85,112,61
12:33,3.32,15.92,86,112,61
12:34,3.33,16.76,98,111,60
12:35,3.33,16.76,98,111,60
12:36,3.34,16.42,93,112,60
12:37,3.34,16.42,93,112,60
12:38,3.35,16,87,113,59
12:39,3.35,16.63,96,113,59
12:40,3.36,16.69,97,114,59
12:41,3.36,18.69,130,114,61
12:42,3.37,18.69,130,114,61
12:43,3.37,18.18,121,114,64
12:44,3.38,18.12,120,113,66
12:45,3.38,17.28,106,113,64
12:46,3.39,17.09,103,113,63
12:47,3.39,17.28,106,113,63
12:48,3.39,17.95,117,113,63
12:49,3.4,18.01,118,113,64
12:50,3.4,18.01,118,113,65
12:51,3.41,17.59,111,113,65
12:52,3.41,16.89,100,113,63
12:53,3.42,17.09,103,112,63
12:54,3.42,17.21,105,112,64
12:55,3.43,17.41,108,112,65
12:56,3.43,17.83,115,113,64
12:57,3.44,17.34,107,113,64
12:58,3.44,17.21,105,113,64
12:59,3.45,17.77,114,113,63
13:00,3.45,16.69,97,113,63
13:01,3.46,16.69,97,113,63
13:02,3.46,17.28,106,112,61
13:03,3.47,17.28,106,112,61
13:04,3.47,16.56,95,112,63
13:05,3.48,16.56,95,112,63
13:06,3.48,16.69,97,112,63
13:07,3.49,16.69,97,112,63
13:08,3.49,16.56,95,112,60
13:09,3.5,16.56,95,112,60
13:10,3.5,16.76,98,113,57
13:11,3.5,16.14,89,113,57
